completeID,fresh_weight,width,height,diameter,thickness
PARL 390-4-7,1590.8,327,347,1051,21
PARL 390-4-8,1194.9,233,334,907,23.9
PARL 319-4-1,1220.6,154,541,1176,29.2
PARL 319-4-2,1009.1,171,464,1055,20.6
PARL 319-4-3,1064.7,164,472,1060,20.1
PARL 319-4-4,729.7,141,386,780,23.6
PARL 319-4-5,495.2,110,351,800,21.1
PARL 319-4-6,974.7,122,502,1066,21.3
PARL 319-4-7,1139.2,186,414,1011,23.1
PARL 319-4-8,1410.1,162,613,1236,20.7
PARL 326-4-1,1224.1,192,359,886,28
PARL 326-4-2,788,141,329,761,13
PARL 326-4-3,906.6,180,329,791,27
PARL 326-4-4,1073.4,185,337,806,30.6
PARL 326-4-5,1012.2,197,296,781,25.2
PARL 326-4-6,924.8,176,314,773,27.1
PARL 326-4-7,1233.6,195,367,905,24.1
PARL 326-4-8,783.5,172,317,743,25.4
PARL 845-4-1,456.6,157,256,663,16.2
PARL 845-4-2,829.5,196,339,818,21.4
PARL 845-4-3,749.3,202,334,866,18.3
PARL 845-4-4,501.5,161,291,657,20.3
PARL 845-4-5,495.5,171,242,641,19.5
PARL 845-4-6,609.8,183,297,753,16.8
PARL 845-4-7,660.4,173,346,842,16.8
PARL 845-4-8,467.9,182,274,692,16.9
PARL 582-4-1,695.7,134,403,906,18.7
PARL 582-4-2,1104.1,174,436,1042,17.8
PARL 582-4-3,970,164,442,978,23.6
PARL 582-4-4,953.5,169,414,971,20
PARL 582-4-5,1013.2,164,422,989,25.3
PARL 582-4-6,1109.8,174,437,989,23.9
PARL 582-4-7,1400.9,186,473,1095,24.9
PARL 582-4-8,477.1,117,322,670,19
PARL 242-4-1,352,116,317,726,13.1
PARL 242-4-2,792.7,149,393,897,19
PARL 242-4-3,558.9,40,412,941,12.5
PARL 242-4-4,268,91,332,727,14.2
PARL 242-4-5,235.9,84,306,677,15.4
PARL 242-4-6,270.8,95,324,714,12.4
PARL 242-4-7,352,101,386,846,13.7
PARL 242-4-8,1149,182,413,961,22.1
PARL 246-4-1,790.7,176,360,850,15.8
PARL 246-4-2,434.4,156,258,648,19.1
PARL 246-4-3,300.8,132,274,641,13.9
PARL 246-4-4,341.4,116,301,673,14
PARL 246-4-5,530.7,152,295,721,19.4
PARL 246-4-6,336.1,141,305,716,10.7
PARL 246-4-7,479.3,128,342,767,16.8
PARL 246-4-8,534.6,162,281,705,15.7
